Race Code,Disease ID,Propensity Value
U,1,7
U,2,2
U,3,9
U,4,4
U,5,6
U,6,1
U,7,9
U,8,7
U,9,4
U,10,10
U,11,9
U,12,3
U,13,10
U,14,10
U,15,4
A,1,4
A,2,1
A,3,10
A,4,4
A,5,6
A,6,7
A,7,6
A,8,7
A,9,7
A,10,4
A,11,6
A,12,4
A,13,1
A,14,2
A,15,6
B,1,8
B,2,8
B,3,3
B,4,8
B,5,8
B,6,5
B,7,2
B,8,10
B,9,4
B,10,3
B,11,2
B,12,7
B,13,8
B,14,4
B,15,5
H,1,5
H,2,6
H,3,6
H,4,9
H,5,1
H,6,3
H,7,6
H,8,8
H,9,4
H,10,7
H,11,10
H,12,2
H,13,6
H,14,1
H,15,6
W,1,2
W,2,2
W,3,4
W,4,9
W,5,5
W,6,6
W,7,2
W,8,8
W,9,10
W,10,3
W,11,6
W,12,10
W,13,3
W,14,6
W,15,2